V češtině;V němčině;Préteritum;Perfektum
Zahnout, odbočit;abbiegen – er biegt ab;er bog ab;er ist abgebogen
Začít;an/fangen – er fängt an;er fing an;er hat angefangen
Obléknout;anziehen – er zieht an;ich zog an;ich habe angezogen
Vystoupit;auftreten – er tritt auf;er trat auf;er ist aufgetreten
Péct;Backen – er bäckt;er backte/buk;er hat gebacken
Začít;beginnen – er beginnt;er begann;er hat begonnen
Klamat, podvádět;betrügen – er betrügt;er betrog;er hat betrogen
Ucházet se;sich bewerben – er bewirbt sich;er bewarb sich;er hat sich beworben
Nabídnout;bieten – er bietet;er bot;er hat geboten
Prosit;bitten – er bittet;er bat;er hat gebeten
Zůstat;bleiben – er bleibt;er blieb;er ist geblieben
Přinést;bringen – er bringt;er brachte;er hat gebracht
Myslet si, soudit;denken – er denkt;er dachte;er hat gedacht
Pozvat;ein/laden – er lädt ein;er lud ein;er hat eingeladen
Doporučit;empfehlen – er empfiehlt;ich empfahl;ich habe empfohlen
Rozhodnout;entscheiden – er entscheidet;er entschied;er hat entschieden
Jíst;essen – er isst;er aß;er hat gegessen
Jet;fahren – er fährt;er fuhr;er ist gefahren
Padat;fallen – er fällt;ich fiel;ich bin gefallen
Nalézt;finden – er findet;er fand;er hat gefunden
Letět;fliegen – er fliegt;er flog;er ist geflogen
Žrát;fressen – er frisst;er fraß;er hat gefressen
Dát;geben – er gibt;ich gab;ich habe gegeben
Jít;gehen – er geht;ich ging;ich bin gegangen
Podařit se;gelingen – er gelingt;es gelang;es ist gelungen
Pochutnat si;genießen – er genießt;er genoss;er hat genossen
Stát se;geschehen – es geschieht;es geschah;es ist geschehen
Vyhrát;gewinnen – er gewinnt;ich gewann;ich habe gewonnen
Rovnat (podobat) se;sich gleichen – er gleicht sich;er glich sich;er hat sich geglichen
Mít;haben – er hat;er hatte;er hat gehabt
Udržet;halten – er hält;er hielt;er hat gehalten
Viset, pověsit;hängen – er hängt;er hing;er hat gehangen
Jmenovat se;heißen – er heißt;ich hieß;ich habe geheißen
Pomoct;helfen – er hilft;ich half;ich habe geholfen
Znát;kennen – er kennt;er kannte;er hat gekannt
Přijít, přijet;kommen – er kommt;er kam;er ist gekommen
Nechat;lassen – er lässt;ich ließ;ich habe gelassen
Běžet;laufen – er läuft;ich lief;ich bin gelaufen
Půjčit;leihen – er leiht;er lieh;er hat geliehen
Číst;lesen – er liest;ich las;ich habe gelesen
Ležet;liegen – er liegt;ich lag;ich habe gelegen
Vzít, brát;nehmen – er nimmt;ich nahm;ich habe genommen
Jmenovat;nennen – er nennt;er nannte;er hat genannt
Hádat, poradit;raten – er rät;er riet;er hat geraten
Jezdit na koni;reiten – er reitet;er ritt;er ist geritten
Zavolat;rufen – er ruft;er rief;er hat gerufen
Svítit;scheinen – es scheint;es schien;es hat geschienen
Střílet;schießen – er schießt;er schoss;er ist/hat geschossen
Spát;schlafen – er schläft;ich schlief;ich habe geschlafen
Zavřít;schließen – er schließt;ich schloss;ich habe geschlossen
Psát;schreiben – er schreibt;er schrieb;er hat geschrieben
Plavat;schwimmen – er schwimmt;ich schwamm;i. bin geschwommen
Vidět;sehen – er sieht;er sah;er hat gesehen
Být;sein – er ist;er war;er ist gewesen
Zpívat;singen – er singt;ich sang;ich habe gesungen
Sedět;sitzen – er sitzt;er saß;er hat gesessen
Mluvit;sprechen – er spricht;er sprach;er hat gesprochen
Skákat;springen – er springt;ich sprang;ich bin gesprungen
Stát;stehen – er steht;ich stand;ich (habe) gestanden
Vzrůstat, stoupat;steigen – er steigt;er stieg;er ist gestiegen
Zemřít;sterben – er stirbt;er starb;er ist gestorben
Hádat se;sichstreiten – ich streite mich;ich stritt mich;ich habe mich gestritten
Nést;tragen – er trägt;ich trug;ich habe getragen
Potkat;treffen – er trifft;ich traf;ich habe getroffen
Pít;trinken – er trinkt;er trank;er hat getrunken
Dělat;tun – es tut;ich tat;ich habe getan
Spojit, navázat;verbinden – er verbindet;er verband;er hat verbunden
Zapomenout;vergessen – er vergisst;er vergaß;ich habe vergessen
Ztratit, prohrát;verlieren – er verliert;er verlor;er hat verloren
Mizet;verschwinden – er verschwindet;er verschwand;er ist verschwunden
Navrhnout;vorschlagen – er schlägt vor;ich schlug vor;i. habe vorgeschlagen
Mýt;waschen – er wäscht;er wusch;er hat gewaschen
Zahodit;wegwerfen – er wirft weg;er warf weg;er hat weggeworfen
Stát se;werden – er wird;er wurde;er ist geworden
Zvážit;wiegen – er wiegt;er wog;er hat gewogen
